search_order,candidate_video_frame_index,candidate_video_time_s,candidate_video_time,distance_from_anchor_s,aggregate_score,center_score,min_window_score,pad_geometry_mean,masked_visual_mean,full_visual_mean,center_pad_geometry_score,center_pad_center_error_px,center_pad_center_error_ratio,center_pad_radius_error_ratio,center_pad_ring_iou,center_pad_thermal_circle_rank,video_circle_source,video_circle_confidence,video_circle_partial,video_circle_smoothed,thermal_circle_confirmed,manual_circle_source,selected_rank,geometry_hard_pass,aggregation,strategy_rank,evaluated_strategy_count,candidate_strategy_count,circle_filter_applied,min_circle_alignment,transform_type,spatial_score,crop_x,crop_y,crop_w,crop_h,thermal_edge_density,video_edge_density,base_similarity,circle_alignment,pad_center_error_px,pad_center_error_ratio,pad_radius_error_ratio,pad_ring_iou,pad_geometry_score,pad_geometry_hard_pass,pad_thermal_circle_rank,keypoint_matches,keypoint_inliers,source_tiff,score_tiff_m2,score_tiff_m1,score_tiff_p0,score_tiff_p1,score_tiff_p2,rank
53,2497,83.23333333333333,00:01:23.233,0.23333333333333428,0.7406059190860261,0.8666969092461357,0.4836651534205285,0.809502830448956,0.6180355548858643,0.5992019057273865,0.9990367273142536,0.2735759042049842,0.0029103819596274913,3.916218775991202e-06,0.9984952969107072,3,arc_fit,0.6709867677749761,False,False,True,manual_coordinates,3,True,mean,1,15,182,True,0.5,crop_resize,0.9990367273142536,1097,742,1532,1226,0.4885349025974026,0.5212391774891775,0.0,0.9990367273142536,0.2735759042049842,0.0029103819596274913,3.916218775991202e-06,0.9984952969107072,0.9990367273142536,True,1,0,0,raw/thermal/20260226_022632.tiff,0.6680180809292433,0.8180052670627571,0.8666969092461357,0.4836651534205285,0.8666441847714661,1
52,2496,83.2,00:01:23.200,0.20000000000000284,0.6112586097489177,0.7269069767344352,0.41830204818155015,0.6249123016336604,0.5873681098222733,0.582235862314701,0.8209596251598315,0.12070416750133407,0.0012840868883120646,0.08667983714898572,0.5932991027814284,3,arc_fit,0.6600357028879162,False,False,True,manual_coordinates,3,True,mean,13,15,182,True,0.5,crop_resize,0.8209596251598315,1162,779,1425,1140,0.4885349025974026,0.520900974025974,0.0,0.8209596251598315,0.12070416750133407,0.0012840868883120646,0.08667983714898572,0.5932991027814284,0.8209596251598315,True,1,0,0,raw/thermal/20260226_022632.tiff,0.41830204818155015,0.6355469922938365,0.7269069767344352,0.5311951892346055,0.7443418423001612,2
54,2498,83.26666666666667,00:01:23.267,0.2666666666666657,0.5320068412832807,0.8550798511152808,0.11118242890742287,0.5967930406146786,0.6056038409471511,0.5939986199140549,0.9740930414574794,0.10864472776940444,0.00115579497627026,0.028890138649755127,0.9434625520558333,3,arc_fit,0.6684716680968372,False,False,True,manual_coordinates,3,True,mean,5,15,182,True,0.5,crop_resize,0.9740930414574794,1056,736,1580,1239,0.4885349025974026,0.5321969696969697,0.0,0.9740930414574794,0.10864472776940444,0.00115579497627026,0.028890138649755127,0.9434625520558333,0.9740930414574794,True,1,0,0,raw/thermal/20260226_022632.tiff,0.5444060705733412,0.5810143130385304,0.8550798511152808,0.11118242890742287,0.5683515427818282,3
55,2499,83.3,00:01:23.300,0.29999999999999716,0.40034024435888405,0.7744645147214351,0.10384231325575612,0.48257336704779696,0.6119501560926437,0.594588428735733,0.8599850728252021,0.11110552380902435,0.001181973657542812,0.07389454195740389,0.684242397177383,3,arc_fit,0.670206885906794,False,False,True,manual_coordinates,3,True,mean,11,15,182,True,0.5,crop_resize,0.8599850728252021,1007,706,1643,1288,0.4885349025974026,0.5290516774891775,0.0,0.8599850728252021,0.11110552380902435,0.001181973657542812,0.07389454195740389,0.684242397177383,0.8599850728252021,True,1,0,0,raw/thermal/20260226_022632.tiff,0.3465401115403857,0.6710652186677358,0.7744645147214351,0.10578906360910757,0.10384231325575612,4
56,2500,83.33333333333333,00:01:23.333,0.3333333333333286,0.3130607804602508,0.773076766528114,0.07602477299090338,0.4185269140258491,0.6073353826999665,0.596452122926712,0.8603171370693112,0.09070164624071797,0.000964911130220404,0.07381299622899674,0.6848717094757871,3,arc_fit,0.6683517412687314,False,False,True,manual_coordinates,3,True,mean,11,15,182,True,0.5,crop_resize,0.8603171370693112,990,703,1631,1279,0.4885349025974026,0.5384875541125541,0.0,0.8603171370693112,0.09070164624071797,0.000964911130220404,0.07381299622899674,0.6848717094757871,0.8603171370693112,True,1,0,0,raw/thermal/20260226_022632.tiff,0.07602477299090338,0.5081258497327836,0.773076766528114,0.1061730658355236,0.10190344721392953,5
37,2481,82.7,00:01:22.700,-0.29999999999999716,0.28468789726739213,0.7287246653019482,0.05958863351790676,0.37958303971270674,0.5721662566065788,0.5776938527822495,0.8185817692645229,0.1551040381576622,0.0016500429591240658,0.08708634779607938,0.5902831675734656,3,arc_fit,0.6923410250254725,False,False,True,manual_coordinates,3,True,mean,14,15,182,True,0.5,crop_resize,0.8185817692645229,944,668,1589,1297,0.4885349025974026,0.5541125541125541,0.0,0.8185817692645229,0.1551040381576622,0.0016500429591240658,0.08708634779607938,0.5902831675734656,0.8185817692645229,True,1,0,0,raw/thermal/20260226_022632.tiff,0.05958863351790676,0.4232947744087841,0.7287246653019482,0.09861501766508078,0.11321639544324064,6
36,2480,82.66666666666667,00:01:22.667,-0.3333333333333286,0.27280927377896236,0.7269814688699537,0.058946091262172165,0.3627049046024082,0.5684736430644989,0.5752852097153663,0.819075162019041,0.028464033385115047,0.00030280886579909627,0.0870074837010379,0.5911226621404961,3,arc_fit,0.6947211726485232,False,False,True,manual_coordinates,3,True,mean,15,15,182,True,0.5,crop_resize,0.819075162019041,940,676,1607,1312,0.4885349025974026,0.5440340909090909,0.0,0.819075162019041,0.028464033385115047,0.00030280886579909627,0.0870074837010379,0.5911226621404961,0.819075162019041,True,1,0,0,raw/thermal/20260226_022632.tiff,0.058946091262172165,0.3660718234410839,0.7269814688699537,0.09849500693597801,0.1135519783856237,7
51,2495,83.16666666666667,00:01:23.167,0.1666666666666714,0.26142909907322764,0.8701857036823563,0.10283596472920908,0.48047112078604587,0.6101916551589965,0.5875083178281784,0.9988069223248854,0.12008258656975154,0.0012774743252101227,0.00030488139561382925,0.9997034661461476,3,arc_fit,0.6710349437296882,False,False,True,manual_coordinates,3,True,mean,3,15,182,True,0.5,crop_resize,0.9988069223248854,1124,703,1541,1258,0.4885349025974026,0.5194128787878788,0.0,0.9988069223248854,0.12008258656975154,0.0012774743252101227,0.00030488139561382925,0.9997034661461476,0.9988069223248854,True,1,0,0,raw/thermal/20260226_022632.tiff,0.10283596472920908,0.10853859969824749,0.8701857036823563,0.10992671083947952,0.11565851641684588,8
47,2491,83.03333333333333,00:01:23.033,0.03333333333333144,0.2613292426201578,0.8699737571598184,0.10534117279511031,0.483193710840489,0.6084547728300095,0.5714311093091965,0.9987949145025308,0.1262166092112436,0.001342729885225996,0.00023476120136238363,0.9996757055742499,3,arc_fit,0.677429337059932,False,False,True,manual_coordinates,3,True,mean,3,15,182,True,0.5,crop_resize,0.9987949145025308,1134,565,1595,1302,0.4885349025974026,0.5364583333333334,0.0,0.9987949145025308,0.1262166092112436,0.001342729885225996,0.00023476120136238363,0.9996757055742499,0.9987949145025308,True,1,0,0,raw/thermal/20260226_022632.tiff,0.10534117279511031,0.10919028272564162,0.8699737571598184,0.11090195810507983,0.11123904231513856,9
50,2494,83.13333333333334,00:01:23.133,0.13333333333333997,0.2606658692015206,0.8680123615414216,0.10319314931089703,0.4830013769210595,0.6005707427859306,0.5776247918605805,0.9998623389693887,0.10330492737666444,0.0010989885891134516,9.184340224521748e-05,0.999784721678261,3,arc_fit,0.6692182601674538,False,False,True,manual_coordinates,3,True,mean,1,15,182,True,0.5,crop_resize,0.9998623389693887,1126,683,1570,1256,0.4885349025974026,0.5212391774891775,0.0,0.9998623389693887,0.10330492737666444,0.0010989885891134516,9.184340224521748e-05,0.999784721678261,0.9998623389693887,True,1,0,0,raw/thermal/20260226_022632.tiff,0.10319314931089703,0.10802541370200792,0.8680123615414216,0.10947111123557525,0.11462731021770108,10
