search_order,candidate_video_frame_index,candidate_video_time_s,candidate_video_time,distance_from_anchor_s,aggregate_score,center_score,min_window_score,pad_geometry_mean,masked_visual_mean,full_visual_mean,center_pad_geometry_score,center_pad_center_error_px,center_pad_center_error_ratio,center_pad_radius_error_ratio,center_pad_ring_iou,center_pad_thermal_circle_rank,video_circle_source,video_circle_confidence,video_circle_partial,video_circle_smoothed,thermal_circle_confirmed,manual_circle_source,selected_rank,geometry_hard_pass,aggregation,strategy_rank,evaluated_strategy_count,candidate_strategy_count,circle_filter_applied,min_circle_alignment,transform_type,spatial_score,crop_x,crop_y,crop_w,crop_h,thermal_edge_density,video_edge_density,base_similarity,circle_alignment,pad_center_error_px,pad_center_error_ratio,pad_radius_error_ratio,pad_ring_iou,pad_geometry_score,pad_geometry_hard_pass,pad_thermal_circle_rank,keypoint_matches,keypoint_inliers,source_tiff,score_tiff_m2,score_tiff_m1,score_tiff_p0,score_tiff_p1,score_tiff_p2,rank
19,14793,493.1,00:08:13.100,-0.8999999999999773,0.3355411774552894,0.8719351794608803,0.10817289167080073,0.4805769000949482,0.645086994767189,0.5886544972658158,0.970784850424432,0.08467471287257364,0.001365721175364091,0.030774210418527785,0.9360381058361362,6,arc_fit,0.6024877228770174,False,False,True,manual_coordinates,6,True,mean,8,15,182,True,0.5,crop_resize,0.970784850424432,1099,756,1459,1191,0.5830965909090909,0.5310808982683982,0.0,0.970784850424432,0.08467471287257364,0.001365721175364091,0.030774210418527785,0.9360381058361362,0.970784850424432,True,1,0,0,raw/thermal/20260226_023322.tiff,0.10817289167080073,0.47748569777422395,0.8719351794608803,0.11018026633318481,0.10993185203735734,11
29,14803,493.43333333333334,00:08:13.433,-0.5666666666666629,0.30765218327851307,0.7843221369239608,0.08398436115092568,0.38463769828146605,0.6319461822509765,0.5914812237024307,0.8572834230161508,0.25634888681880613,0.0041346594648194535,0.07423499209953617,0.6799500135694688,6,arc_fit,0.6101523434653582,False,False,True,manual_coordinates,6,True,mean,12,15,182,True,0.5,crop_resize,0.8572834230161508,991,693,1689,1379,0.5830965909090909,0.5432224025974026,0.0,0.8572834230161508,0.25634888681880613,0.0041346594648194535,0.07423499209953617,0.6799500135694688,0.8572834230161508,True,1,0,0,raw/thermal/20260226_023322.tiff,0.48811046523955937,0.09138390782006375,0.7843221369239608,0.08398436115092568,0.09046004525805568,12
25,14799,493.3,00:08:13.300,-0.6999999999999886,0.2898944327950622,0.7920247687037142,0.08753309965075574,0.37131272140907,0.6385801672935486,0.5984346002340317,0.8589713089183894,0.14548357649590266,0.002346509298321011,0.07407147684453765,0.6825007732487496,6,arc_fit,0.5922732963493782,False,False,True,manual_coordinates,6,True,mean,11,15,182,True,0.5,crop_resize,0.8589713089183894,1024,677,1653,1350,0.5830965909090909,0.5474837662337663,0.0,0.8589713089183894,0.14548357649590266,0.002346509298321011,0.07407147684453765,0.6825007732487496,0.8589713089183894,True,1,0,0,raw/thermal/20260226_023322.tiff,0.10223094649069417,0.09514818380458942,0.7920247687037142,0.08753309965075574,0.37253516532555747,13
59,14833,494.43333333333334,00:08:14.433,0.4333333333333371,0.2705737197049953,0.8947494580965052,0.11330092361090392,0.4827708847739001,0.6779451131820678,0.6215785056352615,0.9994730799810718,0.13315580956959475,0.0021476743478966893,0.0002735504358075823,0.9991751429575425,6,arc_fit,0.607274982813031,False,False,True,manual_coordinates,6,True,mean,1,15,182,True,0.5,crop_resize,0.9994730799810718,815,602,1779,1423,0.5830965909090909,0.5595238095238095,0.0,0.9994730799810718,0.13315580956959475,0.0021476743478966893,0.0002735504358075823,0.9991751429575425,0.9994730799810718,True,1,0,0,raw/thermal/20260226_023322.tiff,0.11330092361090392,0.11504720505624953,0.8947494580965052,0.11500196812280938,0.11476904363850857,14
61,14835,494.5,00:08:14.500,0.5,0.26987977490343423,0.8930369359116329,0.1118777236264935,0.4787297080099222,0.6813089460134506,0.6219539135694504,0.9978505929862189,0.2017975024362862,0.003254798426391713,5.22007844940544e-05,0.9981182567529658,6,arc_fit,0.6145610707725842,False,False,True,manual_coordinates,6,True,mean,3,15,182,True,0.5,crop_resize,0.9978505929862189,741,592,1814,1423,0.5830965909090909,0.5270224567099567,0.0,0.9978505929862189,0.2017975024362862,0.003254798426391713,5.22007844940544e-05,0.9981182567529658,0.9978505929862189,True,1,0,0,raw/thermal/20260226_023322.tiff,0.1118777236264935,0.11282809250580575,0.8930369359116329,0.11498419931344238,0.1166719231597966,15
66,14840,494.6666666666667,00:08:14.667,0.6666666666666856,0.269846691112144,0.8950306110717515,0.11178501749937486,0.47284225950399,0.6901773482561111,0.6247659206390381,0.999182185398869,0.16623893555847338,0.0026812731541689255,0.00010202949737244779,0.9987220098341861,6,arc_fit,0.6233369550467038,False,False,True,manual_coordinates,6,True,mean,1,16,176,True,0.5,crop_resize,0.999182185398869,610,604,1851,1481,0.5830965909090909,0.5586783008658008,0.0,0.999182185398869,0.16623893555847338,0.0026812731541689255,0.00010202949737244779,0.9987220098341861,0.999182185398869,True,1,0,0,raw/thermal/20260226_023322.tiff,0.11233319905250796,0.11178501749937486,0.8950306110717515,0.114998703572619,0.11508592436446669,16
63,14837,494.56666666666666,00:08:14.567,0.5666666666666629,0.2698413526714843,0.8935079747445829,0.1117495815799201,0.4759313967594026,0.6855572581291198,0.6251590341329575,0.9997425242123614,0.09295096009355984,0.0014992090337670942,0.00023934429557650747,0.9995965249823372,6,arc_fit,0.6215949869980988,False,False,True,manual_coordinates,6,True,mean,1,15,182,True,0.5,crop_resize,0.9997425242123614,691,589,1819,1455,0.5830965909090909,0.5308779761904762,0.0,0.9997425242123614,0.09295096009355984,0.0014992090337670942,0.00023934429557650747,0.9995965249823372,0.9997425242123614,True,1,0,0,raw/thermal/20260226_023322.tiff,0.1117495815799201,0.11289463526914553,0.8935079747445829,0.11479969189977206,0.11625487986400079,17
62,14836,494.53333333333336,00:08:14.533,0.5333333333333599,0.2695246492754325,0.8903965015330981,0.11263463908760865,0.47652192081429634,0.6873552352190018,0.6228263884782791,0.9999955898858143,0.010817438816652158,0.0001744748196234219,0.00015757749598608388,0.9999928638579827,6,arc_fit,0.6177615750670593,False,False,True,manual_coordinates,6,True,mean,1,15,182,True,0.5,crop_resize,0.9999955898858143,716,584,1813,1450,0.5830965909090909,0.5141030844155844,0.0,0.9999955898858143,0.010817438816652158,0.0001744748196234219,0.00015757749598608388,0.9999928638579827,0.9999955898858143,True,1,0,0,raw/thermal/20260226_023322.tiff,0.11263463908760865,0.11369710497463024,0.8903965015330981,0.11546535517445158,0.11542964560737375,18
64,14838,494.6,00:08:14.600,0.6000000000000227,0.2690624667940158,0.8911484121320822,0.11197781343177722,0.4715727982654886,0.6900744378566742,0.6251989156007767,0.9978385978842664,0.19933219147862674,0.0032150353464294634,0.00024150317696007697,0.9981600530026272,6,arc_fit,0.6216704714125525,False,False,True,manual_coordinates,6,True,mean,3,15,182,True,0.5,crop_resize,0.9978385978842664,647,596,1853,1453,0.5830965909090909,0.5515083874458875,0.0,0.9978385978842664,0.19933219147862674,0.0032150353464294634,0.00024150317696007697,0.9981600530026272,0.9978385978842664,True,1,0,0,raw/thermal/20260226_023322.tiff,0.11197781343177722,0.11304317719548042,0.8911484121320822,0.11342403962426169,0.11571889158647743,19
60,14834,494.46666666666664,00:08:14.467,0.46666666666664014,0.2690203065999758,0.8907571079149048,0.10965336370797357,0.47817417631166476,0.6738772869110108,0.6234442532062531,0.9998783506360115,0.06372265514907723,0.0010277847604689876,0.00020478817931998236,0.9998093117615185,6,arc_fit,0.6232723748627815,False,False,True,manual_coordinates,6,True,mean,1,15,182,True,0.5,crop_resize,0.9998783506360115,778,588,1797,1438,0.5830965909090909,0.5319602272727273,0.0,0.9998783506360115,0.06372265514907723,0.0010277847604689876,0.00020478817931998236,0.9998093117615185,0.9998783506360115,True,1,0,0,raw/thermal/20260226_023322.tiff,0.10965336370797357,0.11364633147485459,0.8907571079149048,0.11505941661063336,0.11598531329151245,20
