dataset_id,tiff_count,pixel_count,min_celsius,p01_celsius,median_celsius,p99_celsius,max_celsius,mean_celsius,std_celsius,mask_positive_pixels,mask_positive_fraction
0001,439,143851520,5.57000000000005,21.130000000000052,36.13000000000005,189.57000000000005,189.57000000000005,44.67699339819279,33.361858692192,10648013,0.07402085845182588
0002,451,147783680,9.450000000000045,20.05000000000001,32.89000000000004,189.57000000000005,189.57000000000005,44.06749528175237,33.48722287514152,13397954,0.09065922570069983
0003,460,150732800,8.410000000000025,18.410000000000025,29.010000000000048,69.29000000000002,189.57000000000005,32.372912129808526,11.44474356265589,937150,0.006217293117357337
0004,504,165150720,-7.269999999999982,24.690000000000055,46.89000000000004,189.57000000000005,189.57000000000005,68.001313644167,48.497225072793945,38458341,0.2328681400844029
